0	246546+57787	0	156	1	27888at4891_0|contig_10|+|47|1.789e-07|2|246546|304332|246546[246546]:246605[246605]:60[60]|303889[303889]:304332[304332]:444[444]
0	442402+1011	0	247	1	21579at4891_2|contig_10|+|471|4.13e-135|1|442402|443412|442402[442402]:443412[443412]:1011[1011]
0	562732+1056	0	297	1	14055at4891_2|contig_10|+|543|8.747e-157|1|562732|563787|562732[562732]:563787[563787]:1056[1056]
0	422616+354	0	377	1	37216at4891_2|contig_10|+|179|3.287e-47|1|422616|422969|422616[422616]:422969[422969]:354[354]
0	292986-1833	0	430	-1	7009at4891_2|contig_10|-|253|1.74e-69|1|291154|292986|292986[292986]:291154[291154]:1833[1833]
0	661053-753	0	517	-1	18913at4891_0|contig_10|-|61|1.092e-11|1|660301|661053|661053[661053]:660301[660301]:753[753]
0	297074-894	0	544	-1	28717at4891_4|contig_10|-|442|2.218e-126|1|296181|297074|297074[297074]:296181[296181]:894[894]
0	78729-783	0	829	-1	40021at4891_2|contig_10|-|301|6.182e-84|1|77947|78729|78729[78729]:77947[77947]:783[783]
0	189971+636	0	1097	1	16921at4891_3|contig_10|+|80|2.083e-17|1|189971|190606|189971[189971]:190606[190606]:636[636]
0	364160-726	0	1194	-1	29089at4891_2|contig_10|-|317|9.432e-89|1|363435|364160|364160[364160]:363435[363435]:726[726]
0	492082-1389	0	1313	-1	7263at4891_5|contig_10|-|119|3.789e-29|1|490694|492082|492082[492082]:490694[490694]:1389[1389]
0	191034+1650	0	1540	1	7237at4891_5|contig_10|+|985|7.702e-290|1|191034|192683|191034[191034]:192683[192683]:1650[1650]
0	349589+1089	0	1547	1	15018at4891_9|contig_10|+|166|2.692e-43|1|349589|350677|349589[349589]:350677[350677]:1089[1089]
0	456990-492	0	1611	-1	32549at4891_2|contig_10|-|261|6.797e-72|1|456499|456990|456990[456990]:456499[456499]:492[492]
0	95093+279	0	1641	1	37680at4891_2|contig_10|+|177|1.315e-46|1|95093|95371|95093[95093]:95371[95371]:279[279]
0	168641-1908	0	1706	-1	9903at4891_2|contig_10|-|787|3.094e-230|1|166734|168641|168641[168641]:166734[166734]:1908[1908]
0	503711-3501	0	1756	-1	3190at4891_2|contig_10|-|652|1.348e-189|1|500211|503711|503711[503711]:500211[500211]:3501[3501]
0	618663+1002	0	1776	1	20202at4891_2|contig_10|+|503|9.617e-145|1|618663|619664|618663[618663]:619664[619664]:1002[1002]
0	289294+1704	0	1806	1	12732at4891_2|contig_10|+|672|1.285e-195|1|289294|290997|289294[289294]:290997[290997]:1704[1704]
0	29840-969	0	1869	-1	18808at4891_2|contig_10|-|481|4.034e-138|1|28872|29840|29840[29840]:28872[28872]:969[969]
0	299637-660	0	1982	-1	28641at4891_2|contig_10|-|229|2.919e-62|1|298978|299637|299637[299637]:298978[298978]:660[660]
0	451804+585	0	2091	1	37625at4891_2|contig_10|+|308|4.829e-86|1|451804|452388|451804[451804]:452388[452388]:585[585]
