#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_34:510923-513214   -            764 8179at4891           -            324  1.4e-188  623.0   0.2   1   1  1.1e-189  2.8e-188  622.0   0.2    12   324   341   682   333   682 0.93 -
contig_2:455941-456999    -            353 8179at4891           -            324  2.3e-113  375.8   0.0   1   1  1.1e-114  2.8e-113  375.5   0.0    14   322    20   347     9   349 0.89 -
contig_39:213718-214881   -            388 8179at4891           -            324  9.2e-113  373.8   0.0   1   1  4.6e-114  1.2e-112  373.5   0.0    15   322    58   384    44   386 0.89 -
contig_39:141846-142661   -            272 8179at4891           -            324     4e-83  276.4   0.1   1   1   1.8e-84   4.6e-83  276.2   0.1    17   280     6   272     2   272 0.95 -
contig_10:98781-99578     -            266 8179at4891           -            324   7.4e-82  272.2   0.1   1   1   3.3e-83   8.3e-82  272.1   0.1    18   279     2   266     1   266 0.96 -
contig_7:290280-291302    -            341 8179at4891           -            324   2.9e-78  260.4   2.7   1   2   2.9e-48   7.3e-47  157.3   0.9    17   169    35   190    27   212 0.93 -
contig_7:290280-291302    -            341 8179at4891           -            324   2.9e-78  260.4   2.7   2   2     8e-32     2e-30  103.2   0.0   172   292   216   339   203   341 0.92 -
contig_5:175510-176283    -            258 8179at4891           -            324   4.8e-76  253.1   0.0   1   1   2.1e-77   5.3e-76  253.0   0.0    21   273     3   258     1   258 0.94 -
contig_38:788712-789611   -            300 8179at4891           -            324   2.5e-74  247.5   0.1   1   1   1.1e-75   2.7e-74  247.4   0.1    15   298     2   299     1   300 0.91 -
contig_21:710829-711689   -            287 8179at4891           -            324   7.3e-72  239.4   3.1   1   1   1.4e-69   3.5e-68  227.3   3.1    23   279     1   287     1   287 0.88 -
contig_21:334458-335687   -            410 8179at4891           -            324     5e-71  236.7   0.5   1   2     8e-47     2e-45  152.5   0.3    17   168    12   164     3   173 0.95 -
contig_21:334458-335687   -            410 8179at4891           -            324     5e-71  236.7   0.5   2   2   1.9e-25   4.8e-24   82.3   0.0   171   299   233   367   212   385 0.83 -
contig_3:65759-67243      -            495 8179at4891           -            324   5.4e-61  203.7   1.3   1   2   1.6e-37     4e-36  122.0   0.2    21   172     4   157     2   163 0.96 -
contig_3:65759-67243      -            495 8179at4891           -            324   5.4e-61  203.7   1.3   2   2   5.6e-25   1.4e-23   80.7   0.1   169   299   353   495   306   495 0.83 -
scaffold_25:427224-428939 -            572 8179at4891           -            324     3e-58  194.7   2.0   1   2   9.2e-43   2.3e-41  139.2   0.3    13   173   165   328   156   334 0.92 -
scaffold_25:427224-428939 -            572 8179at4891           -            324     3e-58  194.7   2.0   2   2   4.2e-17   1.1e-15   54.9   0.1   169   316   369   522   363   534 0.79 -
contig_5:756400-758091    -            564 8179at4891           -            324   5.7e-58  193.8   2.6   1   2     2e-42     5e-41  138.1   0.2    14   173   158   320   149   329 0.92 -
contig_5:756400-758091    -            564 8179at4891           -            324   5.7e-58  193.8   2.6   2   2   2.4e-17     6e-16   55.7   0.2   169   316   361   514   353   522 0.81 -
contig_38:518831-520054   -            408 8179at4891           -            324   8.4e-51  170.2   2.3   1   3   1.3e-07   3.3e-06   23.7   0.0    20    60     8    48     2    60 0.89 -
contig_38:518831-520054   -            408 8179at4891           -            324   8.4e-51  170.2   2.3   2   3     1e-42   2.6e-41  139.0   0.1    63   259    77   289    75   295 0.84 -
contig_38:518831-520054   -            408 8179at4891           -            324   8.4e-51  170.2   2.3   3   3      0.12         3    4.1   0.0   256   308   309   371   296   379 0.73 -
contig_5:165567-166649    -            361 8179at4891           -            324     7e-50  167.2   0.2   1   1   3.5e-51   8.8e-50  166.8   0.2    13   266    93   349    84   361 0.86 -
contig_16:129516-130403   -            296 8179at4891           -            324   1.8e-48  162.5   0.7   1   2   1.1e-37   2.9e-36  122.4   0.5    17   167     2   157     1   162 0.90 -
contig_16:129516-130403   -            296 8179at4891           -            324   1.8e-48  162.5   0.7   2   2   5.2e-12   1.3e-10   38.1   0.0   171   280   183   296   171   296 0.69 -
contig_16:91622-92428     -            269 8179at4891           -            324   6.4e-44  147.6   2.5   1   1   3.8e-44   9.6e-43  143.7   2.5    20   262     3   263     1   269 0.87 -
contig_23:961181-961969   -            263 8179at4891           -            324   7.3e-44  147.4   1.0   1   1     2e-44   5.1e-43  144.6   1.0    22   265     1   260     1   263 0.86 -
contig_3:169289-170122    -            278 8179at4891           -            324   1.5e-42  143.1   0.0   1   1   7.1e-44   1.8e-42  142.8   0.0    12   263     5   270     1   276 0.88 -
contig_16:111262-113151   -            630 8179at4891           -            324   7.7e-42  140.8   0.0   1   1   4.8e-43   1.2e-41  140.1   0.0    22   301    51   330    40   339 0.89 -
contig_23:795726-796550   -            275 8179at4891           -            324   3.9e-40  135.2   0.0   1   1   1.8e-41   4.5e-40  134.9   0.0    19   263     7   265     1   273 0.86 -
