#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_21:221530-223293     -            588 22851at4891          -            359  1.4e-123  409.9  80.0   1   6   8.6e-48   1.2e-45  153.6   3.2     1    87     1    87     1    93 0.97 -
contig_21:221530-223293     -            588 22851at4891          -            359  1.4e-123  409.9  80.0   2   6   1.1e-19   1.4e-17   61.2   0.2    77   135    94   152    84   166 0.92 -
contig_21:221530-223293     -            588 22851at4891          -            359  1.4e-123  409.9  80.0   3   6   3.6e-45   4.8e-43  145.0  24.4   126   257   167   313   157   321 0.80 -
contig_21:221530-223293     -            588 22851at4891          -            359  1.4e-123  409.9  80.0   4   6   1.1e-20   1.4e-18   64.5   9.1   251   327   329   405   315   425 0.79 -
contig_21:221530-223293     -            588 22851at4891          -            359  1.4e-123  409.9  80.0   5   6       6.1   8.2e+02   -3.8  13.9   277   345   451   527   444   537 0.71 -
contig_21:221530-223293     -            588 22851at4891          -            359  1.4e-123  409.9  80.0   6   6   0.00049     0.065    9.7   0.0   340   359   556   575   545   575 0.91 -
contig_21:506690-507916     -            409 22851at4891          -            359   1.7e-24   83.9   0.0   1   1   1.9e-26   2.5e-24   83.4   0.0     2    73     4    73     3    79 0.93 -
contig_13:353067-353336     -             90 22851at4891          -            359   1.3e-22   77.8   0.2   1   1     1e-24   1.4e-22   77.7   0.2     5    72     1    67     1    82 0.93 -
scaffold_25:31116-32414     -            433 22851at4891          -            359   1.1e-21   74.8  22.6   1   2   5.6e-12   7.4e-10   35.8   0.1    12    68   108   166    94   171 0.83 -
scaffold_25:31116-32414     -            433 22851at4891          -            359   1.1e-21   74.8  22.6   2   2   2.3e-13   3.1e-11   40.3  18.8   130   337   197   402   189   415 0.76 -
contig_12:329103-329444     -            114 22851at4891          -            359   1.2e-20   71.2   0.0   1   1   1.1e-22   1.5e-20   71.0   0.0     5    72     1    67     1    88 0.87 -
contig_21:619329-620384     -            352 22851at4891          -            359   2.1e-20   70.5   0.0   1   1   2.2e-22   2.9e-20   70.0   0.0     3    71     5    69     3    77 0.91 -
contig_2:227747-228868      -            374 22851at4891          -            359   5.3e-20   69.2   0.9   1   1   5.6e-22   7.5e-20   68.7   0.9     3    72    19    87    17    93 0.92 -
scaffold_37:300398-301672   -            425 22851at4891          -            359   5.9e-20   69.0   0.1   1   1   6.3e-22   8.4e-20   68.5   0.1     6    92     2    95     1   109 0.79 -
contig_21:482210-483505     -            432 22851at4891          -            359   1.4e-19   67.7   2.8   1   1   1.6e-21   2.2e-19   67.2   2.8     2    71     4    72     3    89 0.91 -
contig_10:286418-288253     -            612 22851at4891          -            359   2.4e-15   53.9   2.1   1   3       4.4   5.9e+02   -3.4   0.1   102   159    46   107    40   132 0.50 -
contig_10:286418-288253     -            612 22851at4891          -            359   2.4e-15   53.9   2.1   2   3       2.4   3.2e+02   -2.5   4.5   323   351   467   496   365   502 0.50 -
contig_10:286418-288253     -            612 22851at4891          -            359   2.4e-15   53.9   2.1   3   3   1.8e-17   2.4e-15   53.9   2.1     2    71   511   584   510   591 0.87 -
contig_3:100056-101468      -            471 22851at4891          -            359   6.7e-15   52.4   0.8   1   2     5e-17   6.7e-15   52.4   0.8     5    68    25    86    22    93 0.93 -
contig_3:100056-101468      -            471 22851at4891          -            359   6.7e-15   52.4   0.8   2   2      0.65        87   -0.6   0.4   184   211   435   462   414   470 0.67 -
contig_10:607495-607986     -            164 22851at4891          -            359   1.3e-13   48.2   0.3   1   1   1.2e-15   1.6e-13   47.9   0.3     4    68     4    70     1    84 0.89 -
