#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_13:129453-130145     -            231 28703at4891          -            162   2.2e-97  320.8   2.7   1   2   4.9e-78   4.4e-76  251.5   0.2     1   123    15   138    15   156 0.95 -
contig_13:129453-130145     -            231 28703at4891          -            162   2.2e-97  320.8   2.7   2   2   3.4e-22     3e-20   69.9   0.2   118   162   169   213   160   213 0.95 -
contig_5:878553-879086      -            178 28703at4891          -            162   7.6e-63  208.4   0.2   1   1   1.1e-63   9.8e-62  204.8   0.2     1   160     2   177     2   178 0.93 -
contig_21:457385-457957     -            191 28703at4891          -            162     3e-55  183.7   0.0   1   1   1.1e-56   9.6e-55  182.1   0.0     1   160     6   178     6   180 0.94 -
scaffold_37:565874-566446   -            191 28703at4891          -            162   1.1e-45  152.6   0.0   1   1   1.2e-45   1.1e-43  146.2   0.0     4   161     5   178     2   179 0.89 -
contig_39:555604-556101     -            166 28703at4891          -            162   5.2e-45  150.4   0.0   1   1   6.9e-47   6.2e-45  150.2   0.0     4   156     1   162     1   166 0.90 -
contig_21:300834-301511     -            226 28703at4891          -            162   2.5e-34  115.7   1.1   1   2   1.4e-12   1.2e-10   38.7   0.1     4    48     5    49     2    77 0.85 -
contig_21:300834-301511     -            226 28703at4891          -            162   2.5e-34  115.7   1.1   2   2   1.9e-22   1.7e-20   70.8   0.1    50   160    82   218    73   220 0.82 -
contig_23:569978-570505     -            176 28703at4891          -            162   1.7e-28   96.8   0.1   1   1   2.3e-30   2.1e-28   96.5   0.1     2   157    10   169     9   173 0.91 -
contig_21:440892-441389     -            166 28703at4891          -            162     2e-28   96.5   0.1   1   1   2.5e-30   2.2e-28   96.4   0.1     4   159     2   161     1   164 0.93 -
scaffold_25:301640-302125   -            162 28703at4891          -            162   3.9e-24   82.6   0.1   1   1   4.8e-26   4.3e-24   82.4   0.1     4   157     2   160     1   162 0.92 -
contig_3:125633-126277      -            215 28703at4891          -            162   7.9e-24   81.6   0.1   1   1   1.2e-25   1.1e-23   81.1   0.1     4   157    22   178    20   183 0.90 -
scaffold_37:629317-630732   -            279 28703at4891          -            162   1.6e-23   80.6   0.3   1   1   2.4e-25   2.1e-23   80.2   0.3     3   157    75   235    73   237 0.90 -
contig_2:651116-651739      -            208 28703at4891          -            162     5e-22   75.7   0.1   1   1   7.2e-24   6.4e-22   75.4   0.1     4   161    10   178     7   179 0.88 -
contig_3:50549-51166        -            206 28703at4891          -            162   5.1e-21   72.4   0.4   1   1   7.2e-23   6.4e-21   72.1   0.4     4   158    10   168     8   172 0.90 -
contig_23:594924-595469     -            182 28703at4891          -            162   1.7e-19   67.5   0.0   1   1   2.4e-21   2.1e-19   67.2   0.0     3   153     7   164     5   172 0.89 -
contig_12:362494-363162     -            223 28703at4891          -            162   1.1e-18   64.8   0.1   1   1   1.6e-20   1.4e-18   64.5   0.1     4   155    15   170    12   176 0.89 -
contig_39:472590-473231     -            214 28703at4891          -            162   1.5e-18   64.4   0.6   1   2   2.5e-17   2.2e-15   54.1   0.1     4   117     2   126     1   133 0.83 -
contig_39:472590-473231     -            214 28703at4891          -            162   1.5e-18   64.4   0.6   2   2    0.0026      0.24    8.5   0.0   117   155   149   186   146   190 0.88 -
contig_38:72144-72713       -            190 28703at4891          -            162   4.1e-18   63.0   0.0   1   1   6.3e-20   5.6e-18   62.5   0.0     4   145     1   149     1   157 0.89 -
contig_23:409198-409548     -            117 28703at4891          -            162   5.5e-18   62.6   0.0   1   1   6.7e-20     6e-18   62.4   0.0     4   118     1   116     1   117 0.91 -
contig_7:176457-177032      -            192 28703at4891          -            162   7.1e-18   62.2   0.1   1   1   1.1e-19   9.5e-18   61.8   0.1     2   153     4   171     3   177 0.90 -
scaffold_25:1012308-1012973 -            222 28703at4891          -            162   2.7e-17   60.3   0.2   1   1   4.1e-19   3.7e-17   59.9   0.2     4   155    15   170    13   176 0.89 -
contig_21:404104-451224     -            174 28703at4891          -            162   2.2e-14   50.9   0.0   1   1   3.5e-16   3.1e-14   50.4   0.0     5   152    10   167     7   172 0.77 -
contig_5:469023-469616      -            198 28703at4891          -            162   8.3e-11   39.2   0.1   1   1   1.2e-12   1.1e-10   38.9   0.1     4   152    19   179    16   186 0.79 -
contig_2:761378-761977      -            200 28703at4891          -            162   2.1e-08   31.4   0.1   1   1   2.8e-10   2.5e-08   31.2   0.1     2   119     6   124     5   171 0.82 -
contig_4:165302-167287      -            662 28703at4891          -            162   4.1e-06   24.0   0.6   1   3     0.036       3.2    4.8   0.0     4    29     7    33     4    42 0.83 -
contig_4:165302-167287      -            662 28703at4891          -            162   4.1e-06   24.0   0.6   2   3       7.1   6.3e+02   -2.7   0.1    84   116    87   119    61   132 0.73 -
