#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_25:682072-682998 -            309 32081at4891          -            241  5.3e-103  341.2  21.3   1   2   7.9e-28   4.2e-25   86.1   8.7     1    82     1    86     1   101 0.88 -
scaffold_25:682072-682998 -            309 32081at4891          -            241  5.3e-103  341.2  21.3   2   2   3.3e-81   1.7e-78  260.9   5.0    74   241   127   309    96   309 0.89 -
contig_16:970524-970853   -            110 32081at4891          -            241   6.9e-13   46.2   0.4   1   1   1.3e-15   7.2e-13   46.1   0.4   205   239    74   108    44   110 0.89 -
contig_10:550281-550655   -            125 32081at4891          -            241   9.8e-09   32.6   2.2   1   1   2.5e-11   1.4e-08   32.1   2.2   155   238    42   121    25   123 0.77 -
scaffold_25:725655-726020 -            122 32081at4891          -            241    0.0013   15.8   0.5   1   2      0.38   2.1e+02   -1.2   0.6   225   236     1    12     1    14 0.90 -
scaffold_25:725655-726020 -            122 32081at4891          -            241    0.0013   15.8   0.5   2   2   2.5e-06    0.0013   15.8   0.5   202   235    74   107    68   111 0.93 -
scaffold_37:180118-180837 -            240 32081at4891          -            241    0.0033   14.4   3.6   1   2   6.2e-06    0.0033   14.4   3.6   130   176    24    70    10    86 0.85 -
scaffold_37:180118-180837 -            240 32081at4891          -            241    0.0033   14.4   3.6   2   2      0.19     1e+02   -0.2   0.1   165   186   155   176   101   200 0.68 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/32081at4891.hmm
# Target file:     /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/32081at4891.out --cpu 1 /home/inf-52-2022/De_novo_assembly/06_Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/32081at4891.hmm /home/inf-52-2022/De_novo_assembly/06_Busco/output/flye.assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/flye.assembly.fasta.modified.fas 
# Current dir:     /home/inf-52-2022/De_novo_assembly/06_Busco
# Date:            Fri Feb 24 09:20:56 2023
# [ok]
