#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_37:565874-566446   -            191 26792at4891          -            156   2.2e-98  323.8   2.1   1   2   3.9e-83   4.6e-81  267.5   0.6     1   124     1   125     1   140 0.96 -
scaffold_37:565874-566446   -            191 26792at4891          -            156   2.2e-98  323.8   2.1   2   2   4.8e-18   5.6e-16   56.1   0.0   122   156   146   180   137   180 0.95 -
contig_5:878553-879086      -            178 26792at4891          -            156   4.3e-57  189.7   0.2   1   2     1e-54   1.2e-52  175.2   0.1     5   139     5   140     2   149 0.93 -
contig_5:878553-879086      -            178 26792at4891          -            156   4.3e-57  189.7   0.2   2   2   5.2e-05     0.006   13.7   0.0   121   153   145   177   137   178 0.88 -
contig_21:300834-301511     -            226 26792at4891          -            156   1.4e-55  184.7   1.5   1   3   6.5e-24   7.6e-22   75.1   0.2     1    52     1    52     1    80 0.83 -
contig_21:300834-301511     -            226 26792at4891          -            156   1.4e-55  184.7   1.5   2   3   7.5e-29   8.8e-27   91.2   0.0    48   140    78   182    71   190 0.80 -
contig_21:300834-301511     -            226 26792at4891          -            156   1.4e-55  184.7   1.5   3   3   7.4e-06   0.00086   16.5   0.0   127   153   192   218   179   222 0.81 -
contig_39:555604-556101     -            166 26792at4891          -            156   9.8e-49  162.5   0.3   1   1   1.3e-49   1.5e-47  158.7   0.3     5   152     1   165     1   166 0.87 -
contig_13:129453-130145     -            231 26792at4891          -            156   1.8e-44  148.7   0.1   1   2   9.2e-41   1.1e-38  129.9   0.0     5   129    18   143    15   152 0.96 -
contig_13:129453-130145     -            231 26792at4891          -            156   1.8e-44  148.7   0.1   2   2   5.8e-06   0.00068   16.8   0.0   122   154   180   212   174   214 0.93 -
contig_21:457385-457957     -            191 26792at4891          -            156   5.6e-44  147.0   0.1   1   2   3.8e-39   4.4e-37  124.6   0.0     5   123     9   128     5   134 0.96 -
contig_21:457385-457957     -            191 26792at4891          -            156   5.6e-44  147.0   0.1   2   2   4.2e-07   4.9e-05   20.5   0.0   117   153   142   178   137   181 0.89 -
contig_21:440892-441389     -            166 26792at4891          -            156   1.6e-21   74.0   0.0   1   1   1.6e-23   1.9e-21   73.9   0.0     5   122     2   121     1   148 0.89 -
contig_23:569978-570505     -            176 26792at4891          -            156   1.7e-21   74.0   0.0   1   1   1.7e-23     2e-21   73.8   0.0     4   122    11   131     8   164 0.89 -
contig_23:594924-595469     -            182 26792at4891          -            156   1.6e-18   64.3   0.0   1   1   1.7e-20     2e-18   64.0   0.0     2   126     5   131     4   163 0.87 -
contig_3:50549-51166        -            206 26792at4891          -            156   1.7e-17   61.0   0.1   1   1   1.9e-19   2.2e-17   60.6   0.1     5   121    10   128     7   167 0.83 -
contig_3:125633-126277      -            215 26792at4891          -            156   1.9e-17   60.8   0.0   1   1   2.2e-19   2.6e-17   60.4   0.0     4   120    21   139    18   177 0.83 -
contig_2:651116-651739      -            208 26792at4891          -            156   2.8e-17   60.3   0.1   1   1   3.2e-19   3.8e-17   59.9   0.1     3   123     8   135     6   180 0.83 -
scaffold_25:301640-302125   -            162 26792at4891          -            156   1.1e-16   58.4   0.0   1   1   1.3e-18   1.5e-16   57.9   0.0     5   121     2   120     1   161 0.85 -
contig_38:72144-72713       -            190 26792at4891          -            156   4.2e-16   56.5   0.0   1   1   4.4e-18   5.1e-16   56.2   0.0     5   121     1   124     1   165 0.78 -
scaffold_37:629317-630732   -            279 26792at4891          -            156   5.1e-15   53.0   0.0   1   1   6.2e-17   7.3e-15   52.5   0.0     4   122    75   196    72   236 0.87 -
scaffold_25:1012308-1012973 -            222 26792at4891          -            156   5.8e-15   52.8   0.0   1   1   6.9e-17     8e-15   52.3   0.0     4   153    14   175    12   178 0.85 -
contig_23:409198-409548     -            117 26792at4891          -            156   8.5e-15   52.2   0.0   1   1   8.2e-17   9.5e-15   52.1   0.0     5   119     1   116     1   117 0.92 -
contig_7:176457-177032      -            192 26792at4891          -            156   9.8e-15   52.0   0.0   1   1   1.4e-16   1.6e-14   51.3   0.0     5   126     6   129     3   145 0.91 -
contig_12:362494-363162     -            223 26792at4891          -            156   4.2e-14   50.0   0.0   1   1     6e-16     7e-14   49.3   0.0     4   150    14   172    12   178 0.78 -
contig_21:404104-451224     -            174 26792at4891          -            156   8.8e-13   45.7   0.0   1   1     1e-14   1.2e-12   45.3   0.0     6   138    10   146     7   168 0.83 -
contig_39:472590-473231     -            214 26792at4891          -            156     2e-11   41.3   0.0   1   2   2.2e-12   2.6e-10   37.7   0.0     5   122     2   130     1   136 0.79 -
